	RVIS	missense-Z	pLi	Phi	LofTool	s_het	Blomen KBM7	Wang KBM7	Wang K562	Wang Jiyoye	Wang Raji	Hart HCT116	Hart HeLa	Hart GBM	Hart RPE1	Hart DLD1	Dickinson_EG
ENSG00000138801	74.81477019	1.246287551	2.62E-06	2.45E-05	0.245	0.002406495	-0.480978261	0.355	0.487	0.045	0.489	-89.874	-63.023	-21.708	-35.408	-5.91	
ENSG00000262664	46.83452804	-1.340055432	3.95E-05	4.40E-12	0.607	0.001003101	-0.564299424	0.268	0.002	-0.116	-0.349	-60.043	1.664	-22.449	-34.777	-1.168	
ENSG00000163633	17.78808506	-0.195087497	0.001484865	2.10E-04	0.316999999999999	0.002881541	-0.575221239	-0.266	-0.321	-0.105	-0.475	-6.694	-17.336	1.369	5.985	-5.194	
ENSG00000166949	82.38057948	4.409073158	0.868268313	0.933122206854164	0.9315	0.062663399	-0.513535463	0.548	0.182	-0.203	-0.121	-79.437	-44.475	-19.4	-40.023	-13.174	0
ENSG00000265107	85.3502801	1.347163126	0.097996496	0.00115595019342	0.823	0.036228724		0.265	0.316	-0.216	0.092	-85.612	-42.002	-13.05	-34.325	-14.935	1
ENSG00000162777	72.31492079	0.890723893	1.03E-05	6.00E-06	0.254		-0.614814815	0.159	1.278	-0.005	0.251	-42.604	-14.753	-34.292	-33.204	-16.821	
ENSG00000104687	30.3234744899999	0.831564391	0.012481214	0.048435582818612	0.532	0.006911329	-0.553793884	0.262	0.441	-0.192	-0.062	-117.563	-56.463	-25.084	-43.48	-15.593	
ENSG00000115234	90.771640263	0.772581401	0.686180301	0.095830322651873	0.54	0.044918275	-0.5260631	0.112	0.564	0.233	-0.024	-107.187	-54.043	-5.737	-16.327	-18.544	0
ENSG00000183668	0.993916029999994	-3.24105283	2.75E-14	5.00E-07	0.038		-0.526315789	0.14	0.822	0.241	-0.285						
ENSG00000197734	35.4316005099999	-0.203671722	0.008523424	0.036988065911537	0.243	0.001036009	-0.501103753	0.012	0.085	0.347	-0.224	51.921	33.141	21.771	26.341	9.51	
ENSG00000022267	65.97633136	1.285250078	0.918480756			0.262570595	-0.515667949	-0.064	-0.437	-0.167	-0.455	-107.214	-54.103	-22.258	-52.134	-19.162	0
ENSG00000179168	21.2938979599999	1.266842049	0.134074174	2.18E-05		0.033999769	-0.486486486	0.402	0.586	0.232	0.212	-31.821	-55.91	-6.899	-54.574	-12.672	1
ENSG00000073060	75.84482862	1.826751336	0.077224403	0.002507446882321	0.365	0.018426572	-0.515798463	0.277	1.052	0.617	0.239	-65.9	-38.358	-20.394	-14.309	-18.304	0
ENSG00000183340	78.49527137	1.985968072	5.84E-04	0.006876535260877	0.528	0.018968218		-0.068	-0.008	0.065	-0.106	-77.605	-34.621	-25.025	-41.247	-6.736	
ENSG00000155287	71.7607373	3.761279767	0.765079078	0.400132159607074	0.834	0.093423777	-0.490701001	-0.035	-0.099	0.024	0.166	26.276	-22.04	9.05	62.445	23.087	0
ENSG00000164509	85.64544305	-0.486415546	2.13E-15	2.60E-14	0.083	0.009859143	-0.465408805	0.23	0.111	0.133	0.264	-109.399	-46.121	21.572	-12.837	-18.925	0
ENSG00000029725	95.12679959	1.270451913	0.982815073	0.999993273311001		0.03445261	-0.51302654	0.254	-0.134	-0.123	0.053	-95.551	-78.105	-26.621	-46.17	-24.73	
ENSG00000110442	26.76947172	0.480622466	0.635260482	1.55E-04		0.078352387	-0.475409836	0.195	-0.263	0.02	0.327	-112.479	-4.209	12.184	10.902	-8.695	1
ENSG00000166928	6.76465272999999	-1.472095702	2.19E-16	3.11E-16	0.052		-0.294117647	-0.25	-0.44	-0.461	-0.306	-78.772	-52.746	-20.667	-20.673	-17.698	
ENSG00000104856	90.645141859	2.604696745	0.973562746	0.999525295524303	0.9418	0.121968741	-0.505357143	-0.204	0.014	0.175	0.959	-86.521	-60.115	-22.417	-44.68	-19.951	1
ENSG00000175087	69.89337992	2.963185494	0.381253877	0.507287770370343	0.866	0.099631385	-0.548167093	-0.002	0.401	-0.09	-0.15	-44.971	-22.142	-12.461	-24.835	-11.52	
ENSG00000142675	22.2215529199999	0.414764858	3.79E-16	3.80E-19	0.016		-0.430769231	0.072	0.561	-0.123	-0.244	-47.886	-2.384	-24.346	-31.389	-15.44	
ENSG00000171453	56.08698271	-0.641392106	2.92E-04	8.81E-08	0.708	0.017783422	-0.03820598	2.796	4.207	2.543	1.601	319.725	210.888	94.65	103.894	39.97	
ENSG00000090889	36.98224852	2.698015595	0.999968445		0.759	0.089346836	-0.357017404	0.499	0.883	0.53	0.447	-10.979	-4.597	-6.958	13.866	-3.105	
ENSG00000100033	4.11420999	0.790241361	4.75E-06	2.58E-05	0.293		-0.506984866	0.514	1.546	0.36	0.891	-89.615	-61.003	-26.507	-33.994	-11.893	0
ENSG00000169087	24.8719956599999	0.359129236	9.98E-07	6.57E-08	0.209999999999999	0.006991641	-0.468668407	-0.079	-0.16	0.088	0.054	-90.04	-71.38	-31.367	-21.564	-21.476	
ENSG00000261897	36.4556352	-2.241063308	1.28E-05	1.38E-08	0.103999999999999	0.001796435						-18.142	-19.436				
ENSG00000116132	72.6402023999999	2.1209238	0.752904237	0.393823460221464	0.9309	0.10029589	-0.493865031	-0.094	0.204	-0.184	0.046	-122.139	-49.943	-23.535	-30.988	-16.254	1
ENSG00000176383	49.53918439	-2.584404892	3.94E-06	1.47E-18	0.081	0.006162994	-0.514150943	0.018	0.952	0.036	0.325	-116.406	-45.472	-18.915	-36.223	-7.574	
ENSG00000146399	13.5895428	-2.068526903	2.84E-04	3.69E-09	0.381	0.002259879		-0.298	-0.429	-0.412	-0.282	-28	-10.417				0
ENSG00000177992	0.975844829999999	-4.511867189	6.08E-21			0.004247727		0.1	0.239	0.467	0.272	-81.152	-38.151	-24.886	-53.702	-12.198	
ENSG00000163655	85.01897476	1.384023639	0.993904306	0.804764785776864	0.748	0.105452865	-0.192041522	1.903	1.985	2.095	1.225	170.904	78.771	-23.3	0.671	14.777	
ENSG00000153406	14.05939401	-1.384540561	7.31E-04	4.30E-09	0.207999999999999	0.001554157	-0.507776377	0.287	-0.041	-0.05	0.31	-96.52	-53.676	-26.234	-3.164	-7.566	0
ENSG00000165115	21.10716222	1.178085573	1.35E-09	6.15E-20	0.022	0.006788408	-0.494623656	0.05	-0.614	-0.272	0.048	-83.119	-45.882	-19.296	-32.518	-12.933	
ENSG00000186973	18.78802482	-0.466189876	0.029326736	5.54E-04	0.339999999999999		-0.504424779	-0.071	0.354	0.082	-0.047	-27.85	9.29	21.039	-25.737	0.142	
ENSG00000112232	47.31642672	-0.927909008	0.142878302	0.003029373409486	0.5	0.006709212	-0.564885496	-0.025	-0.045	-0.079	-0.521	-48.465	-64.633	-27.877	-36.58	-15.8	0
ENSG00000179477	81.32040239	2.585448413	0.173314448	6.76E-07	0.743	0.019672475	-0.504310345	-0.08	0.193	-0.261	-0.013	-75.475	-72.695	-15.044	-7.238	-20.044	1
ENSG00000185070	69.12234203	1.07137579	0.894038334	0.997813864343952		0.244311391	-0.500609756	-0.173	-0.218	-0.257	-0.016	-75.535	-32.188	-28.035	-14.652	-6.342	1
ENSG00000002746	99.204867177	3.618732477	0.999999894	0.999999995098866		0.138833509	-0.505045872	0.15	0.258	0.008	0.198	-112.33	-60.272	-25.734	-53.629	-16.811	
ENSG00000166920	38.7386302	-0.491798626	4.04E-04	0.001193371860562	0.221999999999999	0.002497684	-0.523076923	-0.281	-0.407	-0.22	-0.013	-26.357	-3.436	-20.515	-14.614	-5.767	
ENSG00000153093	3.20462623	0.077420202	6.28E-10	1.15E-09	0.661999999999999		-0.517618469	-0.026	0.407	-0.201	-0.056	-62.478	-27.333	-10.432	-45.171	-19.17	
ENSG00000091106	94.132883561	0.388688593	4.35E-08	1.59E-12	0.15	0.003320083	-0.561181435	-0.147	0.149	-0.189	-0.143	-108.304	-52.418	-28.598	-40.969	-11.813	0
ENSG00000172331	57.42425155	0.769972579	0.126322244	1.97E-06	0.424	0.070744014	-0.500625782	-0.29	-0.822	-0.291	-0.32	-14.752	-20.451	0.21	-20.399	-15.666	
ENSG00000101335	67.9778326599999	1.347369556	0.066042135	3.65E-04	0.374	0.018548702	-0.520833333	-0.19	-0.327	-0.075	-0.172	-30.985	-38.062	-13.21	-8.39	-8.456	
ENSG00000139117	91.452322149	1.162816013	0.078004273	0.695783006171737	0.432	0.012473056	-0.503756076	-0.014	-0.421	-0.126	-0.105	-34.127	-18.912	-15.529	-7.661	-9.741	
ENSG00000135541	20.2156496599999	-1.881390442	3.26E-14	2.00E-18	0.002	0.006316164	-0.494307749	0.079	-0.206	-0.213	0.035	-135.54	-71.58	-26.486	-41.601	-19.093	1
ENSG00000189120	30.78730197	2.86418389	0.022947566	4.39E-04			-0.595744681	0.319	0.686	-0.133	0.38	-31.085	-43.694	-11.774	-39.627	-9.355	0
ENSG00000205143	37.26883923	0.623868442	6.79E-07	1.48E-08	0.124	0.005033663	-0.541666667	0.623	1.996	0.822	1.201	-90.676	-41.359	-32.743	-39.865	-22.272	
ENSG00000119596	98.445876754	0.198850525	0.999933059	0.999999999935917	0.881	0.065516722	-0.322970639	1.786	2.112	1.188	1.695	105.396	-51.319	-27.01	-44.743	24.225	
ENSG00000167910	64.18890428	-0.640129562	0.003455361	1.49E-08	0.27	0.013189952	-0.527777778	0.324	0.192	-0.069	-0.083	-84.301	-41.685	-21.039	-45.894	-11.473	1
ENSG00000120210	20.7095958099999	-2.443555074	4.57E-05	3.11E-08	0.592		-0.5	-0.261	-0.39	-0.365	-0.369	25.26	-24.569	-18.067	-19.914	-9.245	0
ENSG00000185436	65.14065418	0.432368339	0.308615222			0.01022517	-0.555555556	0.309	1.109	0.42	0.401	-97.908	-29.166	-27.237	-32.094	-12.039	0
ENSG00000005486	83.1034275	0.618881324	0.646226807	0.612926997770715	0.9538	0.089923931	-0.529366306	-0.127	0.368	-0.23	-0.175	-117.745	-76.514	16.158	-45.49	-13.557	
ENSG00000006116	83.17571231	3.154529705	0.987801232	0.994878512704564		0.24588235	-0.545454545	0.085	-0.086	0.143	0.029	-83.508	-34.001	-40.288	-47.446	-7.683	0
ENSG00000169255	65.2129389799999	0.365290641	0.248006524	0.087842966894182	0.722	0.003809898	-0.4	-0.282	-0.391	-0.145	-0.311	-55.941	-47.655	-11.729	-19.484	-5.202	1
ENSG00000143119	64.7129691	0.344395664	0.024019828	2.01E-04	0.482	0.012653702	-0.571428571	-0.134	0.35	0.343	0.065	-93.551	-44.305	-25.146	-27.92	-13.779	
ENSG00000078237	48.37660382	1.21916353	0.691296681	0.052224311896679	0.633	0.081463321	-0.523809524	-0.206	-0.53	-0.168	-0.375	-73.093	-76.926	-32.064	-19.21	-19.59	0
ENSG00000064961	27.13691946	2.549161853	0.342236181	0.929307508941611	0.411		-0.507462687	0.278	0.061	0.17	-0.113	-69.635	-34.118	-19.949	-32.667	-14.747	
ENSG00000177575	72.24263599	2.382383638	0.015136904	0.053209343437652		0.030900103	-0.5625	0.138	-0.078	-0.183	-0.411	-87.188	-74.21	-36.661	-55.184	-12.957	0
ENSG00000197093	31.52219746	-0.676988932	3.82E-10	6.27E-16	0.373	0.001389022	-0.476190476	0.661	0.649	-0.216	0.74	-87.03	-21.193	-11.428	-15.138	-5.435	
ENSG00000128578	92.506475514	0.496000459	7.35E-10			0.01196465	-0.514005602	-0.155	0.351	-0.245	-0.115	-58.798	-28.669	-33.632	-28.845	-13.553	
ENSG00000121680	40.67224866	1.116604386	0.001746608	0.014660346996969	0.321999999999999	0.019139206	-0.456603774	0.632	0.921	0.023	0.25	-90.267	40.085	6.432	-25.162	9.4	0
ENSG00000107862	99.19281971	2.37668601	4.12E-07	0.023734104823854	0.277	0.023411194	-0.077015644	1.002	1.532	1.151	0.998	24.956	43.254	30.485	8.501	37.079	1
ENSG00000185201	13.9268718799999	0.425283585	0.2993759	3.55E-04	0.563	0.020176454	-0.492537313	-0.023	0.564	0.153	0.211	-33.776	-9.681	3.846	-10.77	-1.52	
ENSG00000163466	73.9895187	2.946945905	0.990984292	0.835544235412493		0.226255084	-0.268255423	0.653	0.586	0.174	0.943	-79.887	-29.719	-15.709	19.355	-7.586	1
ENSG00000138675	34.29913861	-0.580547885	4.32E-05	2.34E-08	0.337999999999999	0.003971786	-0.554140127	0.337	0.333	0.298	0.173	-12.141	-8.03	-6.126	-17.934	-5.332	0
ENSG00000135334	45.86470695	1.82206334	0.975340569	0.858789716932548		0.222130939	-0.105620155	1.852	0.593	1.088	1.242	153.069	88.91	7.727	24.721	19.156	1
ENSG00000197992	42.61791458	-0.17516241	2.45E-05	8.97E-05	0.214999999999999	0.00141715	-0.502145923	-0.242	-0.539	-0.123	-0.115	-108.146	-40.286	-27.059	-57.207	-17.523	0
ENSG00000091986	39.94940064	0.002420611	0.005843099	0.011055384593216	0.263	0.01705356	-0.508753593	-0.096	-0.156	-0.166	0.151	-101.749	-69.222	-24.34	-48.951	-7.528	0
ENSG00000143498	17.89048852	0.512615786	6.60E-07	1.52E-05	0.374	0.008391695	-0.415132924	1.034	1.197	1.43	0.504	38.537	35.714	35.311	32.663	27.979	
ENSG00000198189	68.50189748	0.657664654	1.42E-04	2.75E-06	0.495	0.004630766	-0.481623277	-0.421	-0.523	-0.283	-0.138	-65.863	1.08	-6.077	-1.766	-10.663	0
ENSG00000152463	45.20209626	-1.952716645	0.001328464	9.29E-05	0.705	0.006009285	-0.5	-0.33	-0.442	-0.195	-0.302	-35.701	-13.661	-15.668	-28.776	-14.89	0
ENSG00000198331	43.78651888	-0.157453946	5.82E-05	6.39E-05	0.435	0.00367213	-0.302884615	0.065	-0.369	0.099	-0.059	-17.861	-26.323	0.724	9.159	-10.266	
ENSG00000157017	17.6555629199999	-1.383326241	8.37E-05	6.44E-05	0.027	0.006888964	-0.5625	-0.082	0.998	-0.031	0.052	-13.997	-5.334	-2.622	-9.049	-9.673	0
ENSG00000138459	37.56400217	-0.114429121	0.001412251	9.85E-08		0.006012615	-0.472587222	-0.207	-0.165	-0.277	-0.242	-34.785	-22.82	-26.334	-5.197	-9.538	
ENSG00000159322	80.24215409	0.457581022	0.022156295	0.017257690194754	0.512	0.065813882	-0.526191414	0.005	0.006	-0.283	-0.367	-120.226	-71.821	-18.559	-51.844	-19.51	
ENSG00000168385	75.45328595	2.206718815	0.866554503	0.328207770410667	0.248	0.040342552	-0.529348986	-0.056	-0.32	-0.153	-0.608						
ENSG00000186150	12.33660623	-0.469586941	8.48E-04	8.14E-08	0.476	0.011779694		0.238	1.229	0.309	0.337	-29.519	4.015	-11.933	-23.855	-13.681	
ENSG00000167664	4.40334919999999	0.186509861	0.01525187	2.70E-06	0.232999999999999	0.00377085	-0.5	-0.099	0.305	0.01	-0.189	-101.312	-40.675	-31.093	-25.87	-11.879	
ENSG00000100429	70.64634661	-1.360817018	3.28E-12	2.52E-08	0.151	0.003227322	-0.558823529	0.168	0.358	-0.2	0.219	-59.444	-48.677	-33.199	-60.462	-15.84	0
ENSG00000111331	2.74079874999999	-0.596233287	1.82E-23	2.47E-19	0.026		-0.506465517	-0.256	0.064	-0.169	0.01	-57.359	-13.777	-33.962	-55.934	-19.96	
ENSG00000130635	97.445936992	2.255601769	1	0.999999999991011	0.9886	0.437549117	-0.381578947	-0.25	0.44	-0.191	0.381	-78.175	-14.835	-26.29	-38.829	-13.537	1
ENSG00000107957	21.94446118	1.815731488	0.232738023	0.998076875293194	0.614	0.011794093	-0.508130081	0.15	0.2	-0.067	-0.263	-13.299	-38.951	-6.942	3.209	-8.674	
ENSG00000185615	0.319257879999995	-2.769926039	2.53E-21	2.88E-30	0.026		-0.473684211	0.279	0.268	-0.102	-0.168	-135.498	-64.161	-25.239	-43.218	-3.395	
ENSG00000261796	72.57996506	2.407572443	0.998894935	0.998682975381407		0.191366796		0.889	1.584	1.421	1.036						
